symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-03-18 00:00:00+00:00,246.67,250,237.12,239.77,75058406,60.3904695,61.20572982,58.05241062,58.70119136,300233624,0,1
AAPL,2020-03-19 00:00:00+00:00,244.78,252.84,242.61,247.39,67964255,59.92775418,61.90102691,59.39648845,60.566742,271857020,0,1
AAPL,2020-03-20 00:00:00+00:00,229.24,251.83,228,247.18,100423346,56.12320602,61.65375577,55.8196256,60.51532919,401693384,0,1
AAPL,2020-03-23 00:00:00+00:00,224.37,228.5,212.61,228.08,84188208,54.9309184,55.94203706,52.05180087,55.83921143,336752832,0,1
AAPL,2020-03-24 00:00:00+00:00,246.88,247.69,234.3,236.36,71882773,60.44188232,60.64018888,57.36200999,57.8663452,287531092,0,1
AAPL,2020-03-25 00:00:00+00:00,245.52,258.25,244.3,250.75,75900510,60.10892314,63.22551891,59.81023918,61.38934701,303602040,0,1
AAPL,2020-03-26 00:00:00+00:00,258.44,258.68,246.36,246.52,63140169,63.27203526,63.33079276,60.3145744,60.35374606,252560676,0,1
AAPL,2020-03-27 00:00:00+00:00,247.74,255.87,247.05,252.75,51054153,60.65243003,62.64284036,60.48350221,61.87899285,204216612,0,1
AAPL,2020-03-30 00:00:00+00:00,254.81,255.52,249.4,250.74,41994110,62.38332807,62.55715234,61.05883607,61.38689878,167976440,0,1
AAPL,2020-03-31 00:00:00+00:00,254.29,262.49,252,255.6,49250501,62.25602015,64.26356809,61.69537566,62.57673817,197002004,0,1
AAPL,2020-04-01 00:00:00+00:00,240.91,248.72,239.13,246.5,44054638,58.98028949,60.89235649,58.54450469,60.34884961,176218552,0,1
AAPL,2020-04-02 00:00:00+00:00,244.93,245.15,236.9,240.34,41483493,59.96447762,60.01833866,57.99854958,58.84074042,165933972,0,1
AAPL,2020-04-03 00:00:00+00:00,241.41,245.7,238.97,242.8,32470017,59.10270095,60.15299127,58.50533302,59.4430048,129880068,0,1
AAPL,2020-04-06 00:00:00+00:00,262.47,263.11,249.38,250.9,50455071,64.25867163,64.4153583,61.05393961,61.42607045,201820284,0,1
AAPL,2020-04-07 00:00:00+00:00,259.43,271.7,259,270.8,50721831,63.51440995,66.51838717,63.4091361,66.29804654,202887324,0,1
AAPL,2020-04-08 00:00:00+00:00,266.07,267.37,261.23,262.74,42223821,65.14003414,65.45830393,63.95509121,64.32477382,168895284,0,1
AAPL,2020-04-09 00:00:00+00:00,267.99,270.07,264.7,268.7,40529123,65.61009414,66.11932581,64.80462674,65.78391841,162116492,0,1
AAPL,2020-04-13 00:00:00+00:00,273.25,273.7,265.83,268.31,32755731,66.8978627,67.00803301,65.08127664,65.68843748,131022924,0,1
AAPL,2020-04-14 00:00:00+00:00,287.05,288.25,278.05,280,48748672,70.27641898,70.57020649,68.07301271,68.5504174,194994688,0,1
AAPL,2020-04-15 00:00:00+00:00,284.43,286.33,280.63,282.4,32788641,69.63498293,70.10014648,68.70465584,69.13799241,131154564,0,1
AAPL,2020-04-16 00:00:00+00:00,286.69,288.2,282.35,287.38,39281290,70.18828273,70.55796534,69.12575126,70.35721055,157125160,0,1
AAPL,2020-04-17 00:00:00+00:00,282.8,286.95,276.86,284.69,53812478,69.23592158,70.25193669,67.78167344,69.69863689,215249912,0,1
AAPL,2020-04-20 00:00:00+00:00,276.93,281.68,276.85,277.95,32503750,67.79881104,68.96171991,67.77922521,68.04853042,130015000,0,1
AAPL,2020-04-21 00:00:00+00:00,268.37,277.25,265.43,276.28,45247893,65.70312685,67.87715437,64.98334747,67.63967614,180991572,0,1
